author,title,source,url,publication_date,retrieved_at,source_type,project_2025_chapter,output_path,raw_path,status,reason,word_count
Lindsey M. Burke,Lindsey Burke: Universal school choice is needed – Your address shouldn’t limit your child’s future,Fox News,https://www.foxnews.com/opinion/lindsey-burke-universal-school-choice-is-needed-separate-housing-from-education,2019-08-30,2026-06-16T22:02:38.948051+00:00,signed_opinion,Department of Education,data\corpus\control_authors\lindsey_m_burke\control_burke_prose_01.md,data\raw_cache\control_raw\control_burke_prose_01.raw,skipped_existing,output already exists,1086
Lindsey M. Burke,Lindsey Burke: Coronavirus school closings should prompt states to pay parents to educate kids in other ways,Fox News,https://www.foxnews.com/opinion/lindsey-burke-coronavirus-disruption-in-k-12-a-short-term-necessity-or-lasting-shift,2020-03-28,2026-06-16T22:02:39.966517+00:00,signed_opinion,Department of Education,data\corpus\control_authors\lindsey_m_burke\control_burke_prose_02.md,data\raw_cache\control_raw\control_burke_prose_02.raw,skipped_existing,output already exists,956
Christopher C. Miller,US Army Special Forces Need To Go 'Back To Basics' For Great Power Competition,Task & Purpose,https://taskandpurpose.com/news/army-special-forces-back-to-basics-oped/,2020-10-19,2026-06-16T22:02:40.981827+00:00,signed_op_ed,Department of Defense,data\corpus\control_authors\christopher_c_miller\control_miller_prose_01.md,data\raw_cache\control_raw\control_miller_prose_01.raw,skipped_existing,output already exists,2544
Christopher C. Miller,Statement for Committee on Oversight and Reform,DocumentCloud / U.S. House Committee on Oversight and Reform,https://s3.documentcloud.org/documents/20705853/christopher-c-miller-statement-5122021.pdf,2021-05-12,2026-06-16T22:02:41.999463+00:00,signed_public_statement,Department of Defense,data\corpus\control_authors\christopher_c_miller\control_miller_prose_02.md,data\raw_cache\control_raw\control_miller_prose_02.raw,skipped_existing,output already exists,5142
Ken Cuccinelli,"DeSantis is right: Rhetoric won’t stop cartels at our borders, only force",The Hill,https://digital-dev.thehill.com/opinion/immigration/4202741-desantis-is-right-rhetoric-wont-stop-cartels-at-our-borders-only-force/,2023-09-15,2026-06-16T22:02:43.021589+00:00,signed_opinion,Department of Homeland Security,data\corpus\control_authors\ken_cuccinelli\control_cuccinelli_prose_01.md,data\raw_cache\control_raw\control_cuccinelli_prose_01.raw,skipped_existing,output already exists,1552
Ken Cuccinelli,"Abbott’s DC Caravan Gimmick Won’t Secure The Border, But This Will",The Federalist,https://thefederalist.com/2022/04/12/gov-abbotts-d-c-caravan-gimmick-wont-secure-the-border-heres-what-will/,2022-04-12,2026-06-16T22:02:44.054454+00:00,signed_opinion,Department of Homeland Security,data\corpus\control_authors\ken_cuccinelli\control_cuccinelli_prose_02.md,data\raw_cache\control_raw\control_cuccinelli_prose_02.raw,skipped_robots,robots.txt disallows this URL,0
